,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
,open,high,low,close,volume,num_trds,value
2022-08-22 12:24:00-04:00,1533.22,1533.43,1533.22,1533.43,0,4,0.0
2022-08-22 12:25:00-04:00,1533.49,1533.82,1533.49,1533.82,0,4,0.0
2022-08-22 12:26:00-04:00,1533.74,1533.78,1533.66,1533.66,0,4,0.0
2022-08-22 12:27:00-04:00,1533.43,1533.43,1533.22,1533.22,0,4,0.0
2022-08-22 12:28:00-04:00,1533.12,1533.12,1532.75,1532.75,0,4,0.0
2022-08-22 12:29:00-04:00,1532.74,1532.76,1532.74,1532.76,0,4,0.0
2022-08-22 12:30:00-04:00,1532.76,1532.86,1532.56,1532.86,0,4,0.0
2022-08-22 12:31:00-04:00,1532.86,1532.86,1532.79,1532.79,0,4,0.0
2022-08-22 12:32:00-04:00,1532.67,1532.69,1532.61,1532.63,0,4,0.0
2022-08-22 12:33:00-04:00,1532.65,1532.8,1532.65,1532.8,0,4,0.0
2022-08-22 12:34:00-04:00,1532.7,1532.7,1532.58,1532.65,0,4,0.0
2022-08-22 12:35:00-04:00,1532.67,1532.71,1532.67,1532.71,0,4,0.0
2022-08-22 12:36:00-04:00,1532.75,1532.75,1532.62,1532.62,0,4,0.0
2022-08-22 12:37:00-04:00,1532.61,1532.61,1532.53,1532.53,0,4,0.0
2022-08-22 12:38:00-04:00,1532.62,1532.84,1532.45,1532.84,0,4,0.0
2022-08-22 12:39:00-04:00,1532.83,1532.95,1532.83,1532.95,0,4,0.0
2022-08-22 12:40:00-04:00,1532.93,1532.93,1532.63,1532.63,0,4,0.0
2022-08-22 12:41:00-04:00,1532.57,1532.6,1532.57,1532.6,0,4,0.0
2022-08-22 12:42:00-04:00,1532.56,1532.62,1532.52,1532.62,0,4,0.0
2022-08-22 12:43:00-04:00,1532.46,1532.46,1532.09,1532.09,0,4,0.0
2022-08-22 12:44:00-04:00,1532.01,1532.01,1531.68,1531.68,0,4,0.0
2022-08-22 12:45:00-04:00,1531.59,1531.59,1531.24,1531.28,0,4,0.0
2022-08-22 12:46:00-04:00,1531.3,1531.42,1531.29,1531.42,0,4,0.0
2022-08-22 12:47:00-04:00,1531.49,1531.61,1531.49,1531.61,0,4,0.0
2022-08-22 12:48:00-04:00,1531.72,1532.21,1531.72,1532.21,0,4,0.0
2022-08-22 12:49:00-04:00,1532.51,1532.6,1532.51,1532.56,0,4,0.0
2022-08-22 12:50:00-04:00,1532.45,1532.46,1532.36,1532.43,0,4,0.0
2022-08-22 12:51:00-04:00,1532.53,1532.54,1532.46,1532.46,0,4,0.0
2022-08-22 12:52:00-04:00,1532.45,1532.53,1532.45,1532.52,0,4,0.0
2022-08-22 12:53:00-04:00,1532.5,1532.51,1532.47,1532.47,0,4,0.0
2022-08-22 12:54:00-04:00,1532.41,1532.46,1532.37,1532.46,0,4,0.0
2022-08-22 12:55:00-04:00,1532.49,1532.66,1532.49,1532.6,0,4,0.0
2022-08-22 12:56:00-04:00,1532.57,1532.65,1532.56,1532.65,0,4,0.0
2022-08-22 12:57:00-04:00,1532.65,1532.65,1532.45,1532.45,0,4,0.0
2022-08-22 12:58:00-04:00,1532.45,1532.67,1532.45,1532.67,0,4,0.0
2022-08-22 12:59:00-04:00,1532.71,1532.81,1532.57,1532.57,0,4,0.0
2022-08-22 13:00:00-04:00,1532.72,1532.8,1532.72,1532.79,0,4,0.0
2022-08-22 13:01:00-04:00,1532.77,1532.85,1532.77,1532.79,0,4,0.0
2022-08-22 13:02:00-04:00,1532.79,1532.79,1532.72,1532.73,0,4,0.0
2022-08-22 13:03:00-04:00,1532.7,1532.72,1532.45,1532.45,0,4,0.0
2022-08-22 13:04:00-04:00,1532.5,1532.5,1532.35,1532.35,0,4,0.0
2022-08-22 13:05:00-04:00,1532.31,1532.33,1532.17,1532.17,0,4,0.0
2022-08-22 13:06:00-04:00,1532.16,1532.24,1532.16,1532.24,0,4,0.0
2022-08-22 13:07:00-04:00,1532.22,1532.26,1532.22,1532.26,0,4,0.0
2022-08-22 13:08:00-04:00,1532.2,1532.2,1532.06,1532.06,0,4,0.0
2022-08-22 13:09:00-04:00,1531.98,1532.06,1531.98,1532.06,0,4,0.0
2022-08-22 13:10:00-04:00,1532.04,1532.09,1532.04,1532.09,0,4,0.0
2022-08-22 13:11:00-04:00,1532.1,1532.1,1531.71,1531.71,0,4,0.0
2022-08-22 13:12:00-04:00,1531.72,1531.72,1531.47,1531.47,0,4,0.0
2022-08-22 13:13:00-04:00,1531.47,1531.49,1531.47,1531.47,0,4,0.0
2022-08-22 13:14:00-04:00,1531.41,1531.41,1531.34,1531.37,0,4,0.0
2022-08-22 13:15:00-04:00,1531.4,1531.47,1531.21,1531.21,0,4,0.0
2022-08-22 13:16:00-04:00,1531.01,1531.07,1530.98,1531.07,0,4,0.0
2022-08-22 13:17:00-04:00,1531.08,1531.17,1531.05,1531.05,0,4,0.0
2022-08-22 13:18:00-04:00,1530.93,1530.93,1530.74,1530.74,0,4,0.0
2022-08-22 13:19:00-04:00,1530.74,1530.74,1530.65,1530.65,0,4,0.0
2022-08-22 13:20:00-04:00,1530.64,1530.82,1530.64,1530.82,0,4,0.0
2022-08-22 13:21:00-04:00,1530.75,1530.75,1530.71,1530.71,0,4,0.0
2022-08-22 13:22:00-04:00,1530.69,1530.72,1530.59,1530.59,0,4,0.0
2022-08-22 13:23:00-04:00,1530.33,1530.33,1530.25,1530.25,0,4,0.0
2022-08-22 13:24:00-04:00,1530.3,1530.3,1530.26,1530.27,0,4,0.0
2022-08-22 13:25:00-04:00,1530.3,1530.37,1530.21,1530.21,0,4,0.0
2022-08-22 13:26:00-04:00,1530.23,1530.44,1530.21,1530.44,0,4,0.0
2022-08-22 13:27:00-04:00,1530.5,1530.61,1530.5,1530.61,0,4,0.0
2022-08-22 13:28:00-04:00,1530.6,1530.6,1530.55,1530.55,0,4,0.0
2022-08-22 13:29:00-04:00,1530.5,1530.51,1530.37,1530.51,0,4,0.0
2022-08-22 13:30:00-04:00,1530.41,1530.47,1530.38,1530.47,0,4,0.0
2022-08-22 13:31:00-04:00,1530.47,1530.47,1530.25,1530.25,0,4,0.0
2022-08-22 13:32:00-04:00,1530.15,1530.15,1530.01,1530.01,0,4,0.0
2022-08-22 13:33:00-04:00,1529.87,1529.87,1529.78,1529.78,0,4,0.0
2022-08-22 13:34:00-04:00,1529.68,1529.68,1529.49,1529.51,0,4,0.0
2022-08-22 13:35:00-04:00,1529.42,1529.42,1529.14,1529.14,0,4,0.0
2022-08-22 13:36:00-04:00,1529.13,1529.13,1529.03,1529.03,0,4,0.0
2022-08-22 13:37:00-04:00,1529.06,1529.29,1529.06,1529.29,0,4,0.0
2022-08-22 13:38:00-04:00,1529.42,1529.5,1529.42,1529.47,0,4,0.0
2022-08-22 13:39:00-04:00,1529.5,1529.54,1529.49,1529.52,0,4,0.0
2022-08-22 13:40:00-04:00,1529.44,1529.53,1529.44,1529.53,0,4,0.0
2022-08-22 13:41:00-04:00,1529.58,1529.58,1529.31,1529.31,0,4,0.0
2022-08-22 13:42:00-04:00,1529.25,1529.3,1529.15,1529.3,0,4,0.0
2022-08-22 13:43:00-04:00,1529.4,1529.48,1529.4,1529.48,0,4,0.0
2022-08-22 13:44:00-04:00,1529.45,1529.48,1529.4,1529.4,0,4,0.0
2022-08-22 13:45:00-04:00,1529.27,1529.38,1529.27,1529.38,0,4,0.0
2022-08-22 13:46:00-04:00,1529.46,1529.46,1529.28,1529.3,0,4,0.0
2022-08-22 13:47:00-04:00,1529.32,1529.38,1529.32,1529.38,0,4,0.0
2022-08-22 13:48:00-04:00,1529.44,1529.44,1529.26,1529.26,0,4,0.0
2022-08-22 13:49:00-04:00,1528.89,1528.93,1528.8,1528.8,0,4,0.0
2022-08-22 13:50:00-04:00,1528.61,1528.61,1528.56,1528.56,0,4,0.0
2022-08-22 13:51:00-04:00,1528.53,1528.53,1528.37,1528.37,0,4,0.0
2022-08-22 13:52:00-04:00,1527.92,1527.92,1527.87,1527.9,0,4,0.0
2022-08-22 13:53:00-04:00,1527.87,1527.88,1527.8,1527.8,0,4,0.0
2022-08-22 13:54:00-04:00,1527.81,1527.81,1527.53,1527.53,0,4,0.0
2022-08-22 13:55:00-04:00,1527.5,1527.5,1527.2,1527.2,0,4,0.0
2022-08-22 13:56:00-04:00,1527.25,1527.25,1527.02,1527.06,0,4,0.0
2022-08-22 13:57:00-04:00,1526.96,1526.96,1526.8,1526.9,0,4,0.0
2022-08-22 13:58:00-04:00,1526.73,1526.73,1526.24,1526.24,0,4,0.0
2022-08-22 13:59:00-04:00,1526.3,1526.46,1526.3,1526.45,0,4,0.0
2022-08-22 14:00:00-04:00,1526.42,1526.42,1526.13,1526.13,0,4,0.0
2022-08-22 14:01:00-04:00,1526.21,1526.24,1525.91,1525.91,0,4,0.0
2022-08-22 14:02:00-04:00,1525.55,1525.6,1525.54,1525.6,0,4,0.0
2022-08-22 14:03:00-04:00,1525.56,1525.68,1525.53,1525.68,0,4,0.0
2022-08-22 14:04:00-04:00,1525.7,1525.77,1525.57,1525.57,0,4,0.0
2022-08-22 14:05:00-04:00,1525.53,1525.61,1525.45,1525.61,0,4,0.0
2022-08-22 14:06:00-04:00,1525.61,1525.61,1525.31,1525.31,0,4,0.0
2022-08-22 14:07:00-04:00,1525.28,1525.36,1525.28,1525.36,0,4,0.0
2022-08-22 14:08:00-04:00,1525.27,1525.28,1525.23,1525.23,0,4,0.0
2022-08-22 14:09:00-04:00,1525.27,1525.27,1524.99,1524.99,0,4,0.0
2022-08-22 14:10:00-04:00,1524.99,1524.99,1524.53,1524.53,0,4,0.0
2022-08-22 14:11:00-04:00,1524.57,1524.61,1524.52,1524.61,0,4,0.0
2022-08-22 14:12:00-04:00,1524.64,1525.04,1524.64,1525.04,0,4,0.0
2022-08-22 14:13:00-04:00,1525.14,1525.14,1524.96,1525.04,0,4,0.0
2022-08-22 14:14:00-04:00,1524.98,1525.05,1524.98,1525.05,0,4,0.0
2022-08-22 14:15:00-04:00,1525.14,1525.25,1525.14,1525.15,0,4,0.0
2022-08-22 14:16:00-04:00,1524.92,1524.92,1524.84,1524.86,0,4,0.0
2022-08-22 14:17:00-04:00,1524.93,1525.07,1524.93,1525.06,0,4,0.0
2022-08-22 14:18:00-04:00,1524.94,1524.94,1524.76,1524.76,0,4,0.0
2022-08-22 14:19:00-04:00,1524.73,1524.86,1524.7,1524.86,0,4,0.0
2022-08-22 14:20:00-04:00,1524.88,1524.88,1524.74,1524.76,0,4,0.0
2022-08-22 14:21:00-04:00,1524.82,1524.9,1524.77,1524.85,0,4,0.0
2022-08-22 14:22:00-04:00,1524.88,1524.88,1524.77,1524.79,0,4,0.0
2022-08-22 14:23:00-04:00,1524.78,1524.83,1524.64,1524.64,0,4,0.0
2022-08-22 14:24:00-04:00,1524.56,1524.56,1524.32,1524.32,0,4,0.0
2022-08-22 14:25:00-04:00,1524.33,1524.35,1524.1,1524.1,0,4,0.0
2022-08-22 14:26:00-04:00,1524.11,1524.17,1524.04,1524.04,0,4,0.0
2022-08-22 14:27:00-04:00,1523.88,1523.95,1523.84,1523.95,0,4,0.0
2022-08-22 14:28:00-04:00,1523.91,1523.95,1523.91,1523.95,0,4,0.0
2022-08-22 14:29:00-04:00,1523.85,1523.85,1523.59,1523.59,0,4,0.0
2022-08-22 14:30:00-04:00,1523.36,1523.52,1523.36,1523.52,0,4,0.0
2022-08-22 14:31:00-04:00,1523.58,1523.58,1523.41,1523.41,0,4,0.0
2022-08-22 14:32:00-04:00,1523.41,1523.44,1523.33,1523.44,0,4,0.0
